C;22.831694;32.108032;400;0;1388;273;-0.046882;-0.046882;0.937647
C;22.746243;32.072937;0;0;1358;269;0.046882;-0.093765;0.937647
C;22.746243;32.057678;0;0;1398;274;0.046882;-0.046882;0.937647
C;22.732891;32.013428;0;0;1528;287;0.000000;0.000000;0.984529
C;22.732891;32.085144;0;0;1383;267;0.000000;0.000000;0.937647
C;22.732891;32.072937;0;0;1367;261;0.046882;-0.046882;0.984529
C;22.732891;32.114136;0;0;1368;261;0.046882;-0.093765;0.984529
C;22.719540;32.098877;0;0;1435;275;0.046882;-0.093765;0.984529
C;22.719540;32.112610;0;0;1473;277;0.000000;0.000000;0.984529
C;22.706188;32.144657;0;0;1530;286;-0.046882;-0.046882;0.937647
C;22.732891;32.144657;0;0;1572;293;0.046882;-0.046882;0.937647
C;22.719540;32.141605;0;0;1578;291;-0.046882;-0.093765;0.937647
C;22.706188;32.213322;0;0;1557;288;0.093765;0.000000;0.984529
C;22.676813;32.169071;0;0;1580;290;0.000000;0.000000;0.937647
C;22.663462;32.137028;0;0;1572;293;0.000000;-0.046882;0.937647
C;22.650110;32.182804;0;0;1405;272;-0.046882;0.000000;0.984529
C;22.663462;32.195011;0;0;1397;271;0.000000;-0.046882;0.984529
C;22.650110;32.210270;0;0;1355;260;0.046882;-0.093765;0.984529
C;22.634089;32.222477;0;0;1369;262;0.000000;-0.046882;0.984529
C;22.634089;32.249943;0;0;1381;264;0.046882;0.000000;0.937647
C;22.620737;32.265202;0;0;1385;264;0.046882;-0.046882;0.937647
C;22.578012;32.231632;0;0;1400;268;0.000000;-0.046882;0.937647
C;22.607386;32.320133;0;0;237;95;0.000000;0.187529;0.890764
C;22.762264;34.302280;465;9;241;89;0.046882;-0.046882;0.984529
C;22.802319;34.306858;465;9;250;91;0.046882;-0.093765;0.984529
C;22.831694;33.977264;465;9;1496;279;0.000000;0.000000;0.937647
C;22.831694;34.758526;465;9;1495;278;0.046882;0.046882;0.984529
C;22.802319;34.680706;465;9;1489;279;0.000000;0.000000;0.937647
C;22.775616;34.332798;465;9;1480;278;0.000000;-0.046882;1.031411
C;22.788967;33.853664;465;9;1471;277;0.000000;0.000000;0.984529
C;22.788967;33.336384;465;9;1478;276;0.000000;-0.046882;0.937647
C;22.775616;33.087662;465;9;1537;284;-0.046882;0.000000;0.937647
C;22.775616;32.881668;465;9;1517;285;0.000000;-0.093765;0.937647
C;22.788967;32.689404;465;9;1510;281;0.000000;-0.093765;0.937647
